Identifiant du lieu;Année du tournage;Type de tournage;Titre;Réalisateur;Producteur;Localisation de la scène;Code postal;Date de début;Date de fin;Coordonnée en X;Coordonnée en Y;geo_shape;geo_point_2d
2018-1293;2018;Long métrage;La Verité;Hirokazu Kore-Eda;3B Production;100 rue mouffetard, 75005 paris;75005;2018-11-09;2018-11-10;2.34955506;48.84129975;"{""coordinates"": [2.3495550599403665, 48.84129975185761], ""type"": ""Point""}";48.84129975185761, 2.3495550599403665
2019-1524;2019;Long métrage;LES DEUX ALFRED;Bruno Podalydès;WHY NOT PRODUCTIONS;avenue de choisy, 75013 paris;75013;2019-11-01;2019-11-01;2.3583953;48.82811151;"{""coordinates"": [2.3583953009465852, 48.828111508466826], ""type"": ""Point""}";48.828111508466826, 2.3583953009465852
2019-1529;2019;Série TV;MODERN FAMILY - Saison 11 - FINALE;Jim Bagdonas;FROGGIE PRODUCTION;21 avenue kléber, 75116 paris;75116;2019-11-13;2019-11-13;2.29282035;48.87032578;"{""coordinates"": [2.2928203533822575, 48.87032577631454], ""type"": ""Point""}";48.87032577631454, 2.2928203533822575
2018-895;2018;Série TV;THE THUNDER;;Europe Film and TV Co Production;63 boulevard des batignolles, 75008 paris;75008;2018-08-01;2018-08-03;2.31733098;48.88126465;"{""coordinates"": [2.3173309801299937, 48.8812646523452], ""type"": ""Point""}";48.8812646523452, 2.3173309801299937
2018-902;2018;Série TV;Osmosis;Julis Berge - Philippe Larue;CAPA SERIES;rue bonaparte, 75006 paris;75006;2018-07-31;2018-07-31;2.3326985;48.85027178;"{""coordinates"": [2.3326985029738543, 48.85027178321409], ""type"": ""Point""}";48.85027178321409, 2.3326985029738543
2018-921;2018;Long métrage;Les Mignonnes;Maïmouna Doucouré;Bien ou bien Productions;4 rue manin, 75019 paris;75019;2018-08-08;2018-08-08;2.38208807;48.88213499;"{""coordinates"": [2.3820880704061613, 48.88213499024688], ""type"": ""Point""}";48.88213499024688, 2.3820880704061613
2016-2645;2016;Série TV;10%/SAISON 2;JEANNE HERRY;MON VOISIN PRODUCTIONS;83  AVENUE  KELEBER;75016;2016-10-05;2016-10-05;2.288686;48.864621;"{""coordinates"": [2.2886860004712295, 48.86462099982945], ""type"": ""Point""}";48.86462099982945, 2.2886860004712295
2016-2663;2016;Long métrage;SI J'ETAIS UN HOMME;AUDREY DANA;CURIOSA FILMS;SQUARE  DE LA PLACE DE LA REUNION;75020;2016-02-17;2016-02-17;2.406276;48.857722;"{""coordinates"": [2.4062759999279746, 48.857721999764195], ""type"": ""Point""}";48.857721999764195, 2.4062759999279746
2020-1084;2020;Long métrage;STELLA EST AMOUREUSE;Sylvie Verheyde;ATELIER DE PRODUCTION;rue jean dunand, 75013 paris;75013;2020-12-22;2020-12-22;2.36400073;48.82292825;"{""coordinates"": [2.364000734207046, 48.82292824880375], ""type"": ""Point""}";48.82292824880375, 2.364000734207046
2020-1085;2020;Long métrage;STELLA EST AMOUREUSE;Sylvie Verheyde;ATELIER DE PRODUCTION;rue jean dunand, 75013 paris;75013;2020-12-22;2020-12-22;2.36400073;48.82292825;"{""coordinates"": [2.364000734207046, 48.82292824880375], ""type"": ""Point""}";48.82292824880375, 2.364000734207046
2020-1116;2020;Long métrage;STELLA EST AMOUREUSE;Sylvie Verheyde;ATELIER DE PRODUCTION;place georges moustaki, 75005 paris;75005;2020-12-22;2020-12-22;2.35022223;48.83941359;"{""coordinates"": [2.350222234757217, 48.839413588078216], ""type"": ""Point""}";48.839413588078216, 2.350222234757217
2019-192;2019;Série TV;FAMILY BUSINESS S1;IGOR GOTESMAN;SAS LES FILMS DU KIOSQUE;place edwige feuillère, 75007 paris;75007;2019-02-19;2019-02-19;2.30121377;48.85963901;"{""coordinates"": [2.301213774091084, 48.85963900891699], ""type"": ""Point""}";48.85963900891699, 2.301213774091084
